,Rank,Name,Age,Team,Positions,Value
286,287.0,Markelle Fultz,26.5,FA,"PG,SG",1355.1674446908655
287,288.0,Luke Kornet,29.4,BOS,C,1347.6613051580152
288,290.0,Dariq Whitehead,20.3,BKN,"SG,SF",1332.7268999488952
289,291.0,Malik Beasley,28.0,DET,SG,1325.2982766408404
290,292.0,Tyler Kolek,23.7,NY,PG,1317.8951375108463
291,293.0,Xavier Tillman Sr.,25.9,BOS,"PF,C",1310.517308307606
292,294.0,Ajay Mitchell,22.4,OKC,PG,1303.1646165609363
293,295.0,KJ Simpson,22.3,CHA,PG,1295.8368915575556
294,296.0,Bol Bol,25.0,PHO,"PF,C",1288.5339643173393
295,297.0,Larry Nance Jr.,31.9,ATL,C,1281.255667569898
296,298.0,Dario Saric,30.6,DEN,"PF,C",1274.0018357316203
297,299.0,Juan Nunez,20.5,SA,PG,1266.7723048830576
298,300.0,Bones Hyland,24.2,LAC,"PG,SG",1259.5669127466954
299,301.0,Jamal Shead,22.3,TOR,PG,1252.3854986651004
300,302.0,Harrison Barnes,32.5,SA,"SF,PF",1245.2279035794254
301,303.0,Talen Horton-Tucker,24.0,CHI,"PG,SG",1238.0939700082781
302,304.0,Jett Howard,21.2,ORL,SF,1230.9835420269173
303,305.0,Kevon Looney,28.8,GS,"PF,C",1223.8964652468148
304,306.0,Craig Porter Jr.,24.8,CLE,"PG,SG",1216.8325867955427
305,308.0,Dante Exum,29.4,DAL,"PG,SG",1202.773820851835
306,309.0,Quentin Grimes,24.6,DAL,"SG,SF",1195.7786350185415
307,310.0,Terrence Shannon Jr.,24.3,MIN,SG,1188.8060507943737
308,311.0,Nick Smith Jr.,20.6,CHA,"PG,SG",1181.8559225969293
309,312.0,Cam Christie,19.3,LAC,SG,1174.9281062458867
310,313.0,Kentavious Caldwell-Pope,31.8,ORL,"SG,SF",1168.0224589450645
311,314.0,Santi Aldama,23.9,MEM,"PF,C",1161.1388392647514
312,315.0,Mike Conley,37.1,MIN,PG,1154.277107124337
313,316.0,Spencer Dinwiddie,31.6,DAL,"PG,SG",1147.4371237751984
314,317.0,Mo Bamba,26.5,LAC,C,1140.6187517838753
315,318.0,Gary Payton II,32.0,GS,"SG,SF",1133.8218550154852
316,319.0,Dalano Banton,25.1,POR,"SG,SF",1127.0462986174352
317,320.0,Trey Alexander,22.6,DEN,SG,1120.2919490033546
318,321.0,Richaun Holmes,31.1,WAS,C,1113.5586738372913
319,322.0,Royce O'Neale,31.5,PHO,"SF,PF",1106.846342018167
320,323.0,Ousmane Dieng,21.5,OKC,"SF,PF",1100.1548236644448
321,324.0,Caleb Houstan,21.9,ORL,"SG,SF",1093.4839900990592
322,325.0,Drew Eubanks,27.8,UTA,C,1086.8337138345669
323,326.0,Josh Richardson,31.2,MIA,"PG,SG",1080.2038685585285
324,327.0,Cody Martin,29.2,CHA,"SG,SF",1073.5943291191143
325,328.0,Dillon Jones,23.1,OKC,SF,1067.0049715109235
326,329.0,Killian Hayes,23.3,BKN,"PG,SG",1060.4356728610328
327,330.0,Bojan Bogdanovic,35.6,BKN,"SF,PF",1053.8863114152373
328,331.0,Josh Okogie,26.2,PHO,"SG,SF",1047.356766524521
329,332.0,Aleksandar Vezenkov,29.3,FA,"SF,PF",1040.8469186317197
330,333.0,Jalen McDaniels,26.8,SAC,"SF,PF",1034.3566492583814
331,334.0,Josh Minott,22.0,MIN,"SF,PF",1027.8858409918303
332,335.0,Emoni Bates,20.8,CLE,"SG,SF",1021.4343774724257
333,336.0,Duop Reath,28.4,POR,C,1015.0021433809943
334,337.0,Christian Wood,29.2,LAL,"PF,C",1008.5890244264847
335,338.0,Trey Jemison,25.0,NO,C,1002.1949073337564
336,339.0,Vasilije Micic,30.9,CHA,"PG,SG",995.8196798315985
337,340.0,Jalen Hood-Schifino,21.4,LAL,"PG,SG",989.4632306408803
338,341.0,Pat Connaughton,31.9,MIL,"SG,SF",983.1254494629138
339,342.0,Ochai Agbaji,24.6,TOR,"SG,SF",976.8062269679613
340,343.0,Jaylin Williams,22.4,OKC,"PF,C",970.5054547839154
341,344.0,John Konchar,28.7,MEM,"SG,SF",964.2230254851602
342,345.0,Vít Krejcí,24.4,ATL,"SG,SF",957.9588325815675
343,346.0,Steven Adams,31.4,HOU,C,951.71277050768
344,347.0,Luke Kennard,28.4,MEM,SG,945.4847346120241
345,348.0,Dorian Finney-Smith,31.6,BKN,"SF,PF,C",939.2746211465947
346,349.0,Seth Curry,34.3,CHA,SG,933.0823272564885
347,350.0,Gabe Vincent,28.5,LAL,"PG,SG",926.9077509696763
348,351.0,Kevin McCullar Jr.,23.7,NY,SF,920.7507911869307
349,352.0,Cam Spencer,24.6,MEM,SG,914.6113476718947
350,353.0,Olivier-Maxence Prosper,22.4,DAL,PF,908.4893210412883
351,354.0,Enrique Freeman,24.3,IND,PF,902.3846127552588
352,355.0,Ömer Yurtseven,26.4,FA,C,896.2971251078561
353,356.0,Tristan Vukcevic,21.7,WAS,C,890.2267612176602
354,357.0,Jalen Slawson,25.1,ORL,SF,884.1734250185236
355,358.0,Oso Ighodaro,22.4,PHO,C,878.1370212504444
356,359.0,Tristen Newton,23.6,IND,PG,872.1174554505869
357,360.0,Naji Marshall,26.8,DAL,"SG,SF",866.1146339443967
358,361.0,Delon Wright,32.6,MIL,"PG,SG",860.1284638368634
359,362.0,Blake Wesley,21.7,SA,"PG,SG",854.1588530038844
360,363.0,Isaiah Livers,26.3,FA,"SF,PF",848.2057100837774
361,364.0,Jaden Springer,22.2,BOS,SG,842.2689444688658
362,365.0,Jalen Bridges,23.5,PHO,SF,836.3484662972278
363,366.0,Bronny James,20.1,LAL,SG,830.444186444518
364,367.0,Kenyon Martin Jr.,23.9,PHI,"SF,PF",824.5560165159222
365,368.0,Simone Fontecchio,29.0,DET,"SF,PF",818.6838688382268
366,369.0,Keshad Johnson,23.4,MIA,PF,812.8276564519674
367,370.0,Jae'Sean Tate,29.1,HOU,"SF,PF",806.9872931037207
368,371.0,Kris Dunn,30.7,LAC,"PG,SG",801.1626932384643
369,372.0,Jeremiah Robinson-Earl,24.1,NO,"PF,C",795.353771992075
370,373.0,Sam Merrill,28.5,CLE,SG,789.5604451838954
371,374.0,Johnny Davis,22.7,WAS,"SG,SF",783.7826293094204
372,375.0,David Jones,23.0,PHI,SF,778.0202415330768
373,376.0,Quinten Post,24.7,GS,C,772.2731996810908
374,377.0,Jesse Edwards,24.7,MIN,C,766.5414222344662
375,379.0,Charles Bassey,24.1,SA,C,755.1233377136305
376,380.0,Bruno Fernando,26.3,TOR,C,749.4368708132988
377,381.0,Haywood Highsmith,28.0,MIA,"SF,PF",743.7653486526633
378,382.0,Aaron Wiggins,25.9,OKC,"SG,SF",738.1086928843342
379,383.0,Reggie Jackson,34.6,PHI,"PG,SG",732.4668257754056
380,384.0,Chris Duarte,27.5,CHI,SG,726.8396702010541
381,385.0,Aleksej Pokuševski,22.9,FA,"PF,C",721.2271496382145
