Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position,cleaned_name
Brendan Haywood,1152,nba,,False,,45.0,1979-11-27,RET,,13.0,,84.0,263.0,North Carolina,,C,Brendan Haywood
Bonzie Colson,1965,nba,,True,,28.0,1996-01-12,FA,,1.0,,78.0,225.0,Notre Dame,,SF,Bonzie Colson
Jaylen Clark,2602,nba,22.0,True,SG,23.0,2001-10-13,TWO-WAY,,1.0,9.0,76.0,205.0,UCLA,MIN,PG,Jaylen Clark
Kevin Porter,2009,nba,77.0,True,PG,24.0,2000-05-04,ACT,,4.0,2.0,76.0,203.0,USC,LAC,SG,Kevin Porter
Mac McClung,2334,nba,8.0,True,PG,25.0,1999-01-06,TWO-WAY,,2.0,6.0,74.0,185.0,Texas Tech,ORL,PG,Mac McClung
Jarred Vanderbilt,1987,nba,2.0,True,C,25.0,1999-04-03,ACT,,6.0,5.0,81.0,230.0,Kentucky,LAL,PF,Jarred Vanderbilt
Jaime Echenique,2345,nba,,True,,27.0,1997-04-27,FA,,1.0,,83.0,258.0,Wichita State,,C,Jaime Echenique
Samuel Dalembert,1402,nba,,False,,43.0,1981-05-10,RET,,13.0,,83.0,255.0,Seton Hall,,C,Samuel Dalembert
Isaiah Collier,2724,nba,13.0,True,PG,20.0,2004-10-08,ACT,,0.0,2.0,75.0,210.0,USC,UTA,PG,Isaiah Collier
AJ Green,2417,nba,20.0,True,SG,25.0,1999-09-27,ACT,,2.0,2.0,76.0,190.0,Northern Iowa,MIL,SG,AJ Green
Justin Patton,1788,nba,,True,,27.0,1997-06-14,FA,,3.0,,83.0,241.0,Creighton,,C,Justin Patton
Max Heidegger,2669,nba,,True,,27.0,1997-06-05,FA,,1.0,,75.0,180.0,UC Santa Barbara,,PG,Max Heidegger
N Nene,1126,nba,,True,,42.0,1982-09-13,FA,,17.0,,83.0,250.0,,,C,N Nene
Immanuel Quickley,2157,nba,5.0,True,PG,25.0,1999-06-17,ACT,,4.0,6.0,74.0,190.0,Kentucky,TOR,PG,Immanuel Quickley
Kaiser Gates,2246,nba,,True,,28.0,1996-11-08,FA,,1.0,,80.0,223.0,Xavier,,SF,Kaiser Gates
Tony Wroten,1095,nba,,True,,31.0,1993-04-13,FA,,4.0,,78.0,205.0,Washington,,SG,Tony Wroten
Theo John,2425,nba,,True,,26.0,1998-08-25,FA,,1.0,,81.0,242.0,Duke,,PF,Theo John
Jalen Duren,2438,nba,0.0,True,C,21.0,2003-11-18,ACT,,2.0,1.0,82.0,250.0,Memphis,DET,C,Jalen Duren
Luis Montero,1653,nba,,True,,31.0,1993-04-06,FA,,2.0,,79.0,200.0,,,SG,Luis Montero
Rajon Rondo,1283,nba,,False,,38.0,1986-02-22,RET,,16.0,,73.0,180.0,Kentucky,,PG,Rajon Rondo
Nikola Durisic,2757,nba,,True,,20.0,2004-02-23,NWT,,0.0,,79.0,209.0,,,PF,Nikola Durisic
Malcolm Lee,1513,nba,,True,,34.0,1990-05-22,FA,,3.0,,77.0,200.0,UCLA,,SG,Malcolm Lee
Pierre Jackson,1731,nba,,True,,33.0,1991-08-29,FA,,1.0,,70.0,180.0,Baylor,,PG,Pierre Jackson
Leandro Bolmaro,2180,nba,,True,,24.0,2000-09-11,FA,,1.0,,78.0,200.0,,,SG,Leandro Bolmaro
J.J. Hickson,1473,nba,,True,,36.0,1988-09-04,FA,,8.0,,81.0,242.0,North Carolina State,,C,J.J. Hickson
Sindarius Thornwell,1834,nba,,True,,30.0,1994-11-15,FA,,3.0,,76.0,215.0,South Carolina,,SG,Sindarius Thornwell
Andrew Bogut,1077,nba,,False,,40.0,1984-11-28,RET,,14.0,,84.0,260.0,Utah,,C,Andrew Bogut
Didi Louzada,2251,nba,,True,,25.0,1999-07-02,FA,,1.0,,77.0,188.0,,,SG,Didi Louzada
Dante Cunningham,1185,nba,,True,,37.0,1987-04-22,FA,,10.0,,80.0,230.0,Villanova,,SF,Dante Cunningham
Thanasis Antetokounmpo,1591,nba,,True,,32.0,1992-07-18,FA,,6.0,,79.0,219.0,,,SF,Thanasis Antetokounmpo
